ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio
723288,EXPORTADORA Y COMERCIALIZADORA AGUIRRE MARISCAL EXPOAGMAR S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,LOS RIOS,11,1393930.16,94311.93,1299618.23,9235931.44,80047.32,61358.91,2024
303208,OPENFOODS COMERCIALIZADORA DE ALIMENTOS S.A.,G4630,"G4630.12 - VENTA AL POR MAYOR DE FRUTAS, LEGUMBRES Y HORTALIZAS.",comercio_mayorista,FALSE,PICHINCHA,22,1391474.69,749140.02,642334.6699999999,2697752.53,0,96381.1,2024
739506,CORPORACION OBERMAX S.A.S.,G4630,G4630.32 - VENTA AL POR MAYOR DE CAMARÓN Y LANGOSTINOS.,comercio_mayorista,FALSE,GUAYAS,6,1387937.12,320796.48,1067140.6400000001,4580072.27,109632.18,128979.03,2024
128984,CENTERPRODUC S.A.,A0127,A0127.02 - CULTIVO DE CACAO.,cultivo_fruticola,FALSE,GUAYAS,17,1386505.88,614182.18,772323.6999999998,1257018.7,12117.5,9088.12,2024
314720,INDUSTRIA ARROCERA ALTA GRACIA S.A. INDUALTASA S.A.,G4620,G4620.11 - VENTA AL POR MAYOR DE CEREALES (GRANOS) Y SEMILLAS.,comercio_mayorista,FALSE,GUAYAS,14,1385112.68,328129.77,1056982.91,11686088.11,164382.92,94203.07,2024
745657,SWEETBAN S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,EL ORO,5,1379584.79,255288.55,1124296.24,3365972.51,0,59138.46,2024
744890,ANDRADE COMERCIO EXTERIOR ANDRADECOMEX S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,GUAYAS,14,1378701.81,15299.07,1363402.74,4674317.01,9808.15,4769.16,2024
363348,AGROEXPORTADORA E IMPORTADORA ULBIPESA S.A.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,FALSE,MANABI,6,1369825.72,25568.35,1344257.3699999999,9653885.89,115631.84,20568.35,2024
55206,GRUPOLUV S.A,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,4,1365318.79,974511.75,390807.04000000004,687540.82,34443.13,26865.64,2024
162045,NEOPALMA S.A.,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,FALSE,SANTO DOMINGO DE LOS TSACHILAS,16,1364697.65,-237973.75,1602671.4,217636.34,-178271.5,-178271.5,2024
