ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio,ROE_pct,ROA_pct,margen_neto_pct,margen_operativo_pct,activo_corriente,pasivo_corriente,razon_corriente,prueba_acida,endeudamiento_pct,rotacion_activos
4886,COMPANIA AGRICOLA LA JULIA S. A. ( CALAJUSA ),A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,False,GUAYAS,1974,101149790.94,6267510.44,94882280.5,31375130.16,0.0,-2266123.04,2024,-36.15666956910565,-2.240363542959983,-7.222672952888876,0.0,55632385.017000005,42697026.225,1.3029569020529603,0.7817741412317761,93.80373366889334,0.3101848245896137
95597,ENERGY & PALMA ENERGYPALMA S.A.,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,False,MANABI,1505,98069276.15,51258720.22,46810555.93000001,48555912.16,1266320.51,657245.31,2024,1.2822117040361802,0.6701847263507105,1.3535845188826128,2.6079635901540854,53938101.88250001,21064750.168500002,2.560585881676321,1.5363515290057923,47.73213157849948,0.49511849241889194
105773,EXPORTQUILSA & PRODUCTORES ASOCIADOS S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,False,GUAYAS,2009,97624906.15,21187519.42,76437386.73,218452047.3,3576282.78,3077249.78,2024,14.523879454690784,3.152115480932526,1.4086614513500142,1.6371019746446658,53693698.38250001,34396824.028500006,1.5610074446992923,0.9366044668195753,78.29701430140632,2.237667168297708
156811,MEGA SANTAMARIA S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,False,PICHINCHA,1450,94382669.67,52097025.04,42285644.63,237964565.18,4367660.84,2823643.67,2024,5.4199710402504016,2.991697183256842,1.1865815685054424,1.8354248821442112,51910468.318500005,19028540.0835,2.728032108123341,1.6368192648740045,44.80234006714127,2.5212739373872384
3311,UNION DE BANANEROS ECUATORIANOS SA UBESA,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,False,GUAYAS,77,92957924.99,44047715.31,48910209.67999999,514066137.2,17024730.7,12928347.98,2024,29.35077991903231,13.907741573825765,2.5149191989999067,3.311778284547158,51126858.744500004,22009594.356,2.322935076291508,1.3937610457749048,52.61542755527464,5.530094795632551
183115,CARGILL DEL ECUADOR CARGILLECUADOR CIA.LTDA.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,False,GUAYAS,69,87947366.0,3658220.0,84289146.0,215581550.0,-5016274.0,-4606798.0,2024,-125.93004247967592,-5.238130724688219,-2.1369166331719947,-2.3268568205396054,48371051.300000004,37930115.7,1.2752676971138266,0.765160618268296,95.84044393097571,2.4512564708305193
147900,RUFORCORP S.A.,G4620,G4620.12 - VENTA AL POR MAYOR DE FRUTOS Y SEMILLAS OLEAGINOSAS.,comercio_mayorista,False,LOS RIOS,1323,83671987.9,18240004.43,65431983.470000006,22034936.83,85651.72,-165973.16,2024,-0.9099403491756718,-0.19836167893890808,-0.7532273011739785,0.3887087158942403,46019593.345000006,29444392.5615,1.5629323392859833,0.93775940357159,78.20058434395104,0.26334902974141
102796,AJECUADOR S.A.,G4630,"G4630.94 - VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA).",comercio_mayorista,False,GUAYAS,995,79479459.59,27254126.86,52225332.73,176763594.69,11414134.55,8627189.81,2024,31.654618232007454,10.854615588107826,4.8806372291364495,6.45728809148603,43713702.774500005,23501399.728499997,1.8600467750645795,1.1160280650387477,65.70921971463797,2.224016061531452
133367,HAUTES S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,False,GUAYAS,4,79323080.67,65944560.4,13378520.270000003,1865312.22,0.0,-192219.67,2024,-0.29148677136378337,-0.2423250186155434,-10.304959563284264,0.0,43627694.3685,6020334.121500001,7.246723103406412,4.348033862043847,16.865860676361454,0.023515377923357197
43044,DISTRIBUIDORA IMPORTADORA DIPOR S.A.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,False,GUAYAS,2329,79291475.29,11706211.31,67585263.98,310180657.27,-3796508.1,-3239107.05,2024,-27.669986165660625,-4.085063417162205,-1.044264680624648,-1.2239667468030704,43610311.40950001,30413368.791,1.4339191330361694,0.8603514798217016,85.23648189520273,3.911904225965625
